"Step","retrogan_full_150epochs_alllosses - simverb","retrogan_full_150epochs_alllosses - simverb__MIN","retrogan_full_150epochs_alllosses - simverb__MAX","retrogan_full_150epochs_nocyclemae - simverb","retrogan_full_150epochs_nocyclemae - simverb__MIN","retrogan_full_150epochs_nocyclemae - simverb__MAX","retrogan_full_150epochs_nocycledis - simverb","retrogan_full_150epochs_nocycledis - simverb__MIN","retrogan_full_150epochs_nocycledis - simverb__MAX","retrogan_ook_150epochs_alllosses - simverb","retrogan_ook_150epochs_alllosses - simverb__MIN","retrogan_ook_150epochs_alllosses - simverb__MAX","retrogan_full_150epochs_noonewaymm - simverb","retrogan_full_150epochs_noonewaymm - simverb__MIN","retrogan_full_150epochs_noonewaymm - simverb__MAX","retrogan_full_150epochs_nocycleid - simverb","retrogan_full_150epochs_nocycleid - simverb__MIN","retrogan_full_150epochs_nocycleid - simverb__MAX","retrogan_ook_150epochs_noonewaymm - simverb","retrogan_ook_150epochs_noonewaymm - simverb__MIN","retrogan_ook_150epochs_noonewaymm - simverb__MAX","retrogan_ook_150epochs_nocyclemae - simverb","retrogan_ook_150epochs_nocyclemae - simverb__MIN","retrogan_ook_150epochs_nocyclemae - simverb__MAX","retrogan_ook_150epochs_nocycleid - simverb","retrogan_ook_150epochs_nocycleid - simverb__MIN","retrogan_ook_150epochs_nocycleid - simverb__MAX","retrogan_full_150epochs_nocyclemm - simverb","retrogan_full_150epochs_nocyclemm - simverb__MIN","retrogan_full_150epochs_nocyclemm - simverb__MAX","retrogan_ook_150epochs_nocyclemm - simverb","retrogan_ook_150epochs_nocyclemm - simverb__MIN","retrogan_ook_150epochs_nocyclemm - simverb__MAX","retrogan_ook_150epochs_nocycledis - simverb","retrogan_ook_150epochs_nocycledis - simverb__MIN","retrogan_ook_150epochs_nocycledis - simverb__MAX"
"2259","0.4329324545606709","0.4329324545606709","0.4329324545606709","0.4012394986750628","0.4012394986750628","0.4012394986750628","0.43001763446178826","0.43001763446178826","0.43001763446178826","0.3882588771920675","0.3882588771920675","0.3882588771920675","0.2986139564764995","0.2986139564764995","0.2986139564764995","0.4090574896944797","0.4090574896944797","0.4090574896944797","0.3055009521438035","0.3055009521438035","0.3055009521438035","0.3757104778063728","0.3757104778063728","0.3757104778063728","0.374128032227365","0.374128032227365","0.374128032227365","0.3991778083366731","0.3991778083366731","0.3991778083366731","0.3715073975486763","0.3715073975486763","0.3715073975486763","0.3889223532818151","0.3889223532818151","0.3889223532818151"
"4518","0.4615969020347378","0.4615969020347378","0.4615969020347378","0.4440749472623774","0.4440749472623774","0.4440749472623774","0.4556558761053266","0.4556558761053266","0.4556558761053266","0.40186404876803206","0.40186404876803206","0.40186404876803206","0.29616626929917034","0.29616626929917034","0.29616626929917034","0.4539010860132076","0.4539010860132076","0.4539010860132076","0.29925974045632076","0.29925974045632076","0.29925974045632076","0.4017665251587857","0.4017665251587857","0.4017665251587857","0.3971513035695735","0.3971513035695735","0.3971513035695735","0.4427296219921514","0.4427296219921514","0.4427296219921514","0.3925339439271446","0.3925339439271446","0.3925339439271446","0.4024943585959647","0.4024943585959647","0.4024943585959647"
"6777","0.4820186839124409","0.4820186839124409","0.4820186839124409","0.48092718617804087","0.48092718617804087","0.48092718617804087","0.4771381452337481","0.4771381452337481","0.4771381452337481","0.4131798376646","0.4131798376646","0.4131798376646","0.291177738764333","0.291177738764333","0.291177738764333","0.47388870871977057","0.47388870871977057","0.47388870871977057","0.29428958002797934","0.29428958002797934","0.29428958002797934","0.41549538777507766","0.41549538777507766","0.41549538777507766","0.40982740632788306","0.40982740632788306","0.40982740632788306","0.4757330159505859","0.4757330159505859","0.4757330159505859","0.4063074549899606","0.4063074549899606","0.4063074549899606","0.40767221946576176","0.40767221946576176","0.40767221946576176"
"9036","0.4957960808936754","0.4957960808936754","0.4957960808936754","0.5030322006375242","0.5030322006375242","0.5030322006375242","0.49008788721159185","0.49008788721159185","0.49008788721159185","0.41843730049288075","0.41843730049288075","0.41843730049288075","0.3108490890804707","0.3108490890804707","0.3108490890804707","0.5008018884224978","0.5008018884224978","0.5008018884224978","0.26927589437870053","0.26927589437870053","0.26927589437870053","0.4196068447967785","0.4196068447967785","0.4196068447967785","0.42274229460851803","0.42274229460851803","0.42274229460851803","0.48655411920535335","0.48655411920535335","0.48655411920535335","0.41480189328548894","0.41480189328548894","0.41480189328548894","0.4135015669428532","0.4135015669428532","0.4135015669428532"
"11295","0.5076517787853969","0.5076517787853969","0.5076517787853969","0.5213940672244413","0.5213940672244413","0.5213940672244413","0.5001129221421501","0.5001129221421501","0.5001129221421501","0.4150000478040376","0.4150000478040376","0.4150000478040376","0.29104315605787573","0.29104315605787573","0.29104315605787573","0.5155674168560119","0.5155674168560119","0.5155674168560119","0.2707372213572983","0.2707372213572983","0.2707372213572983","0.4295868613507897","0.4295868613507897","0.4295868613507897","0.4268889517146788","0.4268889517146788","0.4268889517146788","0.5077298824981926","0.5077298824981926","0.5077298824981926","0.4227612094418993","0.4227612094418993","0.4227612094418993","0.4147450818025601","0.4147450818025601","0.4147450818025601"
"13554","0.5230982721379026","0.5230982721379026","0.5230982721379026","0.541619771790155","0.541619771790155","0.541619771790155","0.5151875104641663","0.5151875104641663","0.5151875104641663","0.4309300514481657","0.4309300514481657","0.4309300514481657","0.24860121611660846","0.24860121611660846","0.24860121611660846","0.5313936911915038","0.5313936911915038","0.5313936911915038","0.28780094642633397","0.28780094642633397","0.28780094642633397","0.43326881240130566","0.43326881240130566","0.43326881240130566","0.43300354060933216","0.43300354060933216","0.43300354060933216","0.5191246405706251","0.5191246405706251","0.5191246405706251","0.427615708552818","0.427615708552818","0.427615708552818","0.42697917608880787","0.42697917608880787","0.42697917608880787"
"15813","0.533467497757319","0.533467497757319","0.533467497757319","0.5631725401019005","0.5631725401019005","0.5631725401019005","0.5268662876316208","0.5268662876316208","0.5268662876316208","0.43069991243787253","0.43069991243787253","0.43069991243787253","0.2874288888520961","0.2874288888520961","0.2874288888520961","0.5547567204404319","0.5547567204404319","0.5547567204404319","0.2894396110142333","0.2894396110142333","0.2894396110142333","0.44392290368121773","0.44392290368121773","0.44392290368121773","0.4407751190999668","0.4407751190999668","0.4407751190999668","0.5390118371108723","0.5390118371108723","0.5390118371108723","0.43302149736315493","0.43302149736315493","0.43302149736315493","0.42803666269634066","0.42803666269634066","0.42803666269634066"
"18072","0.5456612579248952","0.5456612579248952","0.5456612579248952","0.5692284340147777","0.5692284340147777","0.5692284340147777","0.5386742671488166","0.5386742671488166","0.5386742671488166","0.4318437148394931","0.4318437148394931","0.4318437148394931","0.28833226358847447","0.28833226358847447","0.28833226358847447","0.5626272618238534","0.5626272618238534","0.5626272618238534","0.28607302870117485","0.28607302870117485","0.28607302870117485","0.44841655445238027","0.44841655445238027","0.44841655445238027","0.4431560279929019","0.4431560279929019","0.4431560279929019","0.5472850237304454","0.5472850237304454","0.5472850237304454","0.44083716451882093","0.44083716451882093","0.44083716451882093","0.42701705930241884","0.42701705930241884","0.42701705930241884"
"20331","0.5546390556674285","0.5546390556674285","0.5546390556674285","0.582249207001346","0.582249207001346","0.582249207001346","0.5505150735223093","0.5505150735223093","0.5505150735223093","0.43610059045220856","0.43610059045220856","0.43610059045220856","0.26575833416207517","0.26575833416207517","0.26575833416207517","0.5779488299419586","0.5779488299419586","0.5779488299419586","0.2957145343676922","0.2957145343676922","0.2957145343676922","0.4523755566825286","0.4523755566825286","0.4523755566825286","0.4440858945365465","0.4440858945365465","0.4440858945365465","0.5623421623863042","0.5623421623863042","0.5623421623863042","0.44146443994693374","0.44146443994693374","0.44146443994693374","0.43010760284272387","0.43010760284272387","0.43010760284272387"
"22590","0.5624739640693626","0.5624739640693626","0.5624739640693626","0.5919754657307466","0.5919754657307466","0.5919754657307466","0.5554420535489293","0.5554420535489293","0.5554420535489293","0.4364043234064434","0.4364043234064434","0.4364043234064434","0.27128547310698","0.27128547310698","0.27128547310698","0.5897980266645416","0.5897980266645416","0.5897980266645416","0.2781611286988605","0.2781611286988605","0.2781611286988605","0.449574412226032","0.449574412226032","0.449574412226032","0.45019696975708295","0.45019696975708295","0.45019696975708295","0.568267740166994","0.568267740166994","0.568267740166994","0.44787188575466674","0.44787188575466674","0.44787188575466674","0.4336057547294066","0.4336057547294066","0.4336057547294066"
